model,device,num_gpus,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,h100,8,8,524288,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,8,524288,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,8,524288,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,2,4,262144,Sparse,0.4383,True,-1.04538912631754,-1.020060287274801,12.193702019465997,12.193702019465997,331.5046848823006,25.97,sim 220s TP=2
microsoft/phi-2,h100,2,4,262144,Dense,0.4383,True,-1.04538912631754,-1.020060287274801,125.57922014446602,125.57922014446602,31.88477795023081,933.06,sim 624s TP=2
microsoft/phi-2,h100,2,8,131072,NaiveSparse,0.4383,True,-1.6195993760626193,-1.020060287274801,125.59321356113264,125.59321356113264,63.7624435667839,922.2,sim 2303s TP=2
microsoft/phi-2,h100,2,64,16384,Dense,0.4383,True,-25.60936564091922,-1.020060287274801,116.45758420308563,128.70309057808564,497.76169382802846,810.19,sim 4441s TP=2
microsoft/phi-2,h100,2,32,32768,Dense,0.4383,True,-10.014941450566031,-1.020060287274801,119.99895099014554,126.99355686514555,252.23454319882902,877.24,sim 4204s TP=2
microsoft/phi-2,h100,2,32,32768,Sparse,0.4383,True,-10.014941450566031,-1.020060287274801,16.16106646829511,17.32569259387896,1860.6614530625286,0.0,sim 4191s TP=2
microsoft/phi-2,h100,8,4,1048576,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,4,1048576,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,8,4,1048576,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,h100,2,4,262144,NaiveSparse,0.4383,True,-1.04538912631754,-1.020060287274801,125.57910814446602,125.57910814446602,31.884806416150038,933.05,sim 605s TP=2
microsoft/phi-2,h100,2,32,32768,NaiveSparse,0.4383,True,-10.014941450566031,-1.020060287274801,119.99670843304776,126.99131430804775,252.23900192018974,877.32,sim 4263s TP=2
microsoft/phi-2,h100,4,128,16384,Dense,0.4462,True,-54.228452211937125,-1.04538912631754,113.88710538786033,128.97109588786032,993.4526167522856,750.98,sim 4388s TP=4
microsoft/phi-2,h100,4,16,131072,NaiveSparse,0.4462,True,-6.400605561827242,-1.020060287274801,115.02282974192475,123.75955811692475,129.4162793936293,911.07,sim 2404s TP=4
microsoft/phi-2,h100,4,64,32768,Sparse,0.4462,True,-25.60936564091922,-1.020060287274801,19.451536233618384,21.63888383008093,2975.1699344937097,0.45,sim 4333s TP=4
microsoft/phi-2,h100,4,64,32768,Dense,0.4462,True,-25.60936564091922,-1.020060287274801,115.48443880975186,126.40911218475188,506.80382291599756,845.34,sim 4396s TP=4
microsoft/phi-2,h100,4,128,16384,NaiveSparse,0.4462,True,-54.228452211937125,-1.04538912631754,113.88624972119368,128.97024022119368,993.4592144413543,750.98,sim 4537s TP=4
microsoft/phi-2,h100,4,32,65536,Sparse,0.4462,True,-10.014941450566031,-1.020060287274801,13.421932577830832,15.279840742179559,2111.88597586793,7.7,sim 3641s TP=4
microsoft/phi-2,h100,2,2,524288,Sparse,0.4383,True,-1.020060287274801,-1.020060287274801,12.197237686132667,12.197237686132667,165.7037875004186,31.56,sim 400s TP=2
microsoft/phi-2,h100,4,8,262144,Sparse,0.4462,True,-1.6195993760626193,-1.020060287274801,12.122173241924735,12.122173241924735,666.9631481257505,28.45,sim 557s TP=4
microsoft/phi-2,h100,4,64,32768,NaiveSparse,0.4462,True,-25.60936564091922,-1.020060287274801,115.48095914308519,126.4056325180852,506.81778818804594,845.34,sim 4497s TP=4
