model,device,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,h100,4,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,11.26329457168533,11.888735594754658,680.2010776403074,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,2,262144,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,370.2805857859095,512.3078356609095,15.619498759912467,3870.64,sim 480s
microsoft/phi-2,a100,2,262144,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,370.2805857859095,512.3078356609095,15.619498759912467,3870.64,sim 476s
microsoft/phi-2,h100,8,32768,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,15.490433207048007,17.49864608204801,460.5340046509663,75.66,sim 11s
microsoft/phi-2,h100,8,32768,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,15.490433207048007,17.49864608204801,460.5340046509663,75.66,sim 25s
microsoft/phi-2,h100,1,65536,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,sim 21s
microsoft/phi-2,h100,1,65536,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,2,65536,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,sim 27s
microsoft/phi-2,h100,2,65536,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,13.177489422906516,18.01745596386379,447.17848305808286,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,4,65536,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,30.659090850645345,32.663890725645345,245.8785893117862,166.2,sim 31s
microsoft/phi-2,h100,4,65536,Dense,0.8452,True,-1.6195993760626193,-1.020060287274801,30.659090850645345,32.663890725645345,245.8785893117862,166.2,sim 35s
microsoft/phi-2,h100,1,131072,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,sim 33s
microsoft/phi-2,h100,1,131072,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,18.57917512534913,29.650175679012964,270.97821786371196,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,h100,8,65536,NaiveSparse,0.4226,True,-1.6195993760626193,-1.020060287274801,121.68019147564532,128.67394410064531,62.23431947077896,965.06,sim 47s
microsoft/phi-2,h100,8,65536,Dense,0.4226,True,-1.6195993760626193,-1.020060287274801,121.68019147564532,128.67394410064531,62.23431947077896,965.06,sim 60s
