model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,128,8192,Dense,1,153.5,1.0,178.19020141000968,202.53186412167335,OK,40.0
meta-llama/Meta-Llama-3-8B,blackwell,64,32768,Dense,1,290.9,1.0,378.17945689210103,378.17945689210103,OK,115.1
meta-llama/Meta-Llama-3-8B,blackwell,64,32768,Sparse,1,290.9,0.1,53.71392665198881,59.24112790543155,OK,114.8
meta-llama/Meta-Llama-3-8B,blackwell,64,65536,Sparse,2,565.8,0.1,50.080943084124975,56.4879530694853,OK,114.4
meta-llama/Meta-Llama-3-8B,blackwell,64,65536,Dense,2,565.8,1.0,375.74747297083064,375.74747297083064,OK,115.2
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Dense,4,1115.6,1.0,374.70016127471814,374.70016127471814,OK,115.9
meta-llama/Meta-Llama-3-8B,blackwell,64,131072,Sparse,4,1115.6,0.1,48.928566068955156,55.30882283232517,OK,116.3
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Dense,8,2215.1,1.0,373.65348914842025,373.65348914842025,OK,117.9
meta-llama/Meta-Llama-3-8B,blackwell,64,262144,Sparse,8,2215.1,0.1,47.59705280047544,54.08168611613932,OK,120.3
mistralai/Mixtral-8x7B-v0.1,blackwell,1,4096,Dense,1,93.9,1.0,14.12280410009044,14.12280410009044,OK,30.4
meta-llama/Meta-Llama-3-8B,blackwell,128,16384,Sparse,1,290.9,0.1,53.02097350316178,66.1910368572539,OK,75.3
meta-llama/Meta-Llama-3-8B,blackwell,128,16384,Dense,1,290.9,1.0,364.52207399399003,381.1139517507604,OK,77.4
mistralai/Mixtral-8x7B-v0.1,blackwell,1,4096,Sparse,1,93.9,0.1,13.532980100090436,13.532980100090436,OK,32.9
mistralai/Mixtral-8x7B-v0.1,blackwell,1,8192,Dense,1,94.5,1.0,14.843700100090437,14.843700100090437,OK,43.0
mistralai/Mixtral-8x7B-v0.1,blackwell,1,8192,Sparse,1,94.5,0.1,13.598516100090437,13.598516100090437,OK,43.4
mistralai/Mixtral-8x7B-v0.1,blackwell,1,16384,Dense,1,95.5,1.0,16.219956100090435,16.219956100090435,OK,56.8
mistralai/Mixtral-8x7B-v0.1,blackwell,1,16384,Sparse,1,95.5,0.1,13.729588100090437,13.729588100090437,OK,56.5
meta-llama/Meta-Llama-3-8B,blackwell,128,32768,Sparse,2,565.8,0.1,57.07443515539394,62.50712263726948,OK,115.3
