model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
Llama-2-70b-hf,a100,16,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27
Llama-2-70b-hf,a100,16,8,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,16,16,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,16,32,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,16,64,122.81,122.81,122.81,122.81,1.0,0.0,0.0,65.28,65.28
Llama-2-70b-hf,a100,32,4,191.13,214.88,191.13,214.88,1.0,0.0,0.0,37.27,37.27
Llama-2-70b-hf,a100,32,8,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28
Llama-2-70b-hf,a100,32,16,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28
Llama-2-70b-hf,a100,32,32,132.2,132.2,122.81,122.81,1.076,37.54,0.0,60.63,65.28
Llama-2-70b-hf,a100,64,4,219.16,242.91,191.13,214.88,1.147,112.12,0.0,32.97,37.27
Llama-2-70b-hf,a100,64,8,240.12,240.12,122.81,122.81,1.955,469.24,0.0,33.35,65.28
Llama-2-70b-hf,a100,64,16,240.12,240.12,122.81,122.81,1.955,469.24,0.0,33.35,65.28
Llama-2-70b-hf,a100,128,4,414.88,456.83,191.13,214.88,2.171,967.79,0.0,17.52,37.27
Llama-2-70b-hf,a100,128,8,456.81,456.81,122.81,122.81,3.72,1335.98,0.0,17.52,65.28
Llama-2-70b-hf,a100,256,4,811.15,895.03,191.13,214.88,4.244,2720.62,0.0,8.94,37.27
Llama-2-70b-hf,a40,4,4,524.8,589.87,525.76,590.96,0.998,0.0,0.0,13.57,13.54
Llama-2-70b-hf,a40,4,8,336.73,336.73,337.36,337.36,0.998,0.0,0.0,23.78,23.73
Llama-2-70b-hf,a40,4,16,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77
Llama-2-70b-hf,a40,4,32,336.75,336.75,336.69,336.69,1.0,0.0,0.0,23.77,23.78
Llama-2-70b-hf,a40,4,64,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77
Llama-2-70b-hf,a40,4,128,336.75,336.75,336.75,336.75,1.0,0.0,0.0,23.77,23.77
Llama-2-70b-hf,a40,8,4,524.74,589.81,524.74,589.81,1.0,0.0,0.0,13.57,13.57
Llama-2-70b-hf,a40,8,8,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,8,16,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,8,32,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,8,64,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,8,128,336.67,336.67,336.67,336.67,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,16,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57
Llama-2-70b-hf,a40,16,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,16,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,16,32,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,16,64,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,32,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57
Llama-2-70b-hf,a40,32,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,32,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,32,32,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,64,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57
Llama-2-70b-hf,a40,64,8,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,64,16,336.71,336.71,336.71,336.71,1.0,0.0,0.0,23.78,23.78
Llama-2-70b-hf,a40,128,4,524.72,589.78,524.72,589.78,1.0,0.0,0.0,13.57,13.57
Llama-2-70b-hf,a40,128,8,497.53,497.53,336.71,336.71,1.478,643.28,0.0,16.09,23.78
Llama-2-70b-hf,a40,256,4,847.03,930.92,524.72,589.78,1.614,1364.53,0.0,8.6,13.57
Llama-2-70b-hf,h100,4,4,103.9,116.77,103.51,116.33,1.004,0.0,0.0,68.66,68.92
Llama-2-70b-hf,h100,4,8,66.6,66.6,66.72,66.72,0.998,0.0,0.0,120.57,120.37
Llama-2-70b-hf,h100,4,16,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.35,120.34
Llama-2-70b-hf,h100,4,32,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.35
Llama-2-70b-hf,h100,4,64,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.34
Llama-2-70b-hf,h100,4,128,66.73,66.73,66.73,66.73,1.0,0.0,0.0,120.34,120.34
Llama-2-70b-hf,h100,8,4,103.74,116.59,103.74,116.59,1.0,0.0,0.0,68.76,68.76
Llama-2-70b-hf,h100,8,8,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32
Llama-2-70b-hf,h100,8,16,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32
Llama-2-70b-hf,h100,8,32,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32
Llama-2-70b-hf,h100,8,64,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32
Llama-2-70b-hf,h100,8,128,66.74,66.74,66.74,66.74,1.0,0.0,0.0,120.32,120.32
Llama-2-70b-hf,h100,16,4,103.74,116.59,103.74,116.59,1.0,0.0,0.0,68.76,68.76
Llama-2-70b-hf,h100,16,8,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32
Llama-2-70b-hf,h100,16,16,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32
Llama-2-70b-hf,h100,16,32,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32
Llama-2-70b-hf,h100,16,64,68.21,68.21,66.74,66.74,1.022,5.88,0.0,117.72,120.32
Llama-2-70b-hf,h100,32,4,110.74,123.6,103.74,116.59,1.067,28.02,0.0,64.86,68.76
Llama-2-70b-hf,h100,32,8,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32
Llama-2-70b-hf,h100,32,16,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32
Llama-2-70b-hf,h100,32,32,121.22,121.22,66.74,66.74,1.816,217.89,0.0,66.14,120.32
Llama-2-70b-hf,h100,64,4,208.6,229.58,103.74,116.59,2.011,451.94,0.0,34.89,68.76
Llama-2-70b-hf,h100,64,8,229.56,229.56,66.74,66.74,3.44,651.26,0.0,34.89,120.32
Llama-2-70b-hf,h100,64,16,229.56,229.56,66.74,66.74,3.44,651.26,0.0,34.89,120.32
Llama-2-70b-hf,h100,128,4,405.74,447.68,103.74,116.59,3.911,1324.37,0.0,17.88,68.76
Llama-2-70b-hf,h100,128,8,447.67,447.67,66.74,66.74,6.708,1523.69,0.0,17.88,120.32
