model,device,baseline,context_length,batch_size,kv_read_fraction,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,throughput_tok_s,hbf_stall_ms,status,wall_s
Qwen/Qwen2-72B,a40,NaiveSparse,4096,32,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,17.5
Qwen/Qwen2-72B,a40,Dense,4096,64,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,16.0
Qwen/Qwen2-72B,a40,NaiveSparse,4096,64,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,16.0
Qwen/Qwen2-72B,a40,Dense,4096,128,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,15.2
Qwen/Qwen2-72B,a40,NaiveSparse,4096,128,1.0,-1.62,-1.02,336.77,336.77,23.77,0.00,OK,15.2
Qwen/Qwen2-72B,a40,Sparse,8192,4,0.1,-1.62,-1.02,524.84,589.92,13.57,0.00,OK,16.6
Qwen/Qwen2-72B,a40,Sparse,8192,16,0.1,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,8.6
Qwen/Qwen2-72B,a40,Sparse,8192,8,0.1,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,14.8
Qwen/Qwen2-72B,a40,Sparse,8192,32,0.1,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,5.0
Qwen/Qwen2-72B,a40,Dense,8192,4,1.0,-1.62,-1.02,524.84,589.92,13.57,0.00,OK,20.0
Qwen/Qwen2-72B,a40,NaiveSparse,8192,4,1.0,-1.62,-1.02,524.84,589.92,13.57,0.00,OK,20.0
Qwen/Qwen2-72B,a40,Dense,8192,8,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,15.2
Qwen/Qwen2-72B,a40,NaiveSparse,8192,8,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,15.2
Qwen/Qwen2-72B,a40,Sparse,8192,64,0.1,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,4.7
Qwen/Qwen2-72B,a40,Dense,8192,16,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,10.9
Qwen/Qwen2-72B,a40,NaiveSparse,8192,16,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,10.9
Qwen/Qwen2-72B,a40,Sparse,8192,128,0.1,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,4.8
Qwen/Qwen2-72B,a40,Dense,8192,32,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,9.4
Qwen/Qwen2-72B,a40,NaiveSparse,8192,32,1.0,-1.62,-1.02,336.79,336.79,23.77,0.00,OK,9.4
