model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,8,786432,Dense,1,840.7,1.0,110.99208370622281,110.99208370622281,OK,20.0
meta-llama/Meta-Llama-3-8B,blackwell,8,786432,Dense,2,840.7,1.0,61.82008572051889,61.82008572051889,OK,20.5
meta-llama/Meta-Llama-3-8B,blackwell,8,786432,Dense,4,840.7,1.0,37.46323604242023,37.46323604242023,OK,20.1
meta-llama/Meta-Llama-3-8B,blackwell,8,786432,Dense,8,840.7,1.0,24.791810861372603,24.791810861372603,OK,20.4
meta-llama/Meta-Llama-3-8B,blackwell,8,1048576,Dense,1,1115.6,1.0,145.3518220742228,145.3518220742228,OK,21.9
meta-llama/Meta-Llama-3-8B,blackwell,8,1048576,Dense,2,1115.6,1.0,78.9999549045189,78.9999549045189,OK,22.3
meta-llama/Meta-Llama-3-8B,blackwell,8,1048576,Dense,4,1115.6,1.0,46.05317063442024,46.05317063442024,OK,22.9
meta-llama/Meta-Llama-3-8B,blackwell,8,1048576,Dense,8,1115.6,1.0,29.086778157372603,29.086778157372603,OK,22.6
meta-llama/Meta-Llama-3-8B,blackwell,8,2097152,Dense,1,2215.1,1.0,282.7907755462228,282.7907755462228,OK,31.1
meta-llama/Meta-Llama-3-8B,blackwell,8,2097152,Dense,2,2215.1,1.0,147.71943164051888,147.71943164051888,OK,32.2
meta-llama/Meta-Llama-3-8B,blackwell,8,2097152,Dense,4,2215.1,1.0,80.41290900242024,80.41290900242024,OK,31.9
meta-llama/Meta-Llama-3-8B,blackwell,16,131072,Dense,1,290.9,1.0,41.76202681087048,43.829312192151306,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,16,131072,Dense,2,290.9,1.0,27.49348760078442,27.49348760078442,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,16,131072,Dense,4,290.9,1.0,20.304709769092682,20.304709769092682,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,16,131072,Dense,8,290.9,1.0,16.22696117176362,16.22696117176362,OK,14.6
meta-llama/Meta-Llama-3-8B,blackwell,16,196608,Dense,1,428.4,1.0,59.479000442870486,59.479000442870486,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,16,196608,Dense,2,428.4,1.0,36.08342219278442,36.08342219278442,OK,15.5
meta-llama/Meta-Llama-3-8B,blackwell,16,196608,Dense,4,428.4,1.0,24.59967706509268,24.59967706509268,OK,16.0
meta-llama/Meta-Llama-3-8B,blackwell,16,196608,Dense,8,428.4,1.0,18.374444819763617,18.374444819763617,OK,14.9
meta-llama/Meta-Llama-3-8B,blackwell,16,262144,Dense,1,565.8,1.0,76.65886962687048,76.65886962687048,OK,15.4
meta-llama/Meta-Llama-3-8B,blackwell,16,262144,Dense,2,565.8,1.0,44.673356784784424,44.673356784784424,OK,16.4
meta-llama/Meta-Llama-3-8B,blackwell,16,262144,Dense,4,565.8,1.0,28.89464436109268,28.89464436109268,OK,16.5
meta-llama/Meta-Llama-3-8B,blackwell,16,262144,Dense,8,565.8,1.0,20.521928467763615,20.521928467763615,OK,16.8
meta-llama/Meta-Llama-3-8B,blackwell,16,393216,Dense,1,840.7,1.0,111.01860799487048,111.01860799487048,OK,16.6
meta-llama/Meta-Llama-3-8B,blackwell,16,393216,Dense,2,840.7,1.0,61.85322596878442,61.85322596878442,OK,17.3
meta-llama/Meta-Llama-3-8B,blackwell,16,393216,Dense,4,840.7,1.0,37.48457895309268,37.48457895309268,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,16,393216,Dense,8,840.7,1.0,24.816895763763622,24.816895763763622,OK,17.9
meta-llama/Meta-Llama-3-8B,blackwell,16,524288,Dense,1,1115.6,1.0,145.3783463628705,145.3783463628705,OK,18.9
meta-llama/Meta-Llama-3-8B,blackwell,16,524288,Dense,2,1115.6,1.0,79.03309515278443,79.03309515278443,OK,18.3
meta-llama/Meta-Llama-3-8B,blackwell,16,524288,Dense,4,1115.6,1.0,46.074513545092685,46.074513545092685,OK,18.4
meta-llama/Meta-Llama-3-8B,blackwell,16,524288,Dense,8,1115.6,1.0,29.111863059763618,29.111863059763618,OK,18.3
meta-llama/Meta-Llama-3-8B,blackwell,16,786432,Dense,1,1665.3,1.0,214.09782309887052,214.09782309887052,OK,20.2
meta-llama/Meta-Llama-3-8B,blackwell,16,786432,Dense,2,1665.3,1.0,113.39283352078444,113.39283352078444,OK,20.5
meta-llama/Meta-Llama-3-8B,blackwell,16,786432,Dense,4,1665.3,1.0,63.25438272909269,63.25438272909269,OK,20.4
meta-llama/Meta-Llama-3-8B,blackwell,16,786432,Dense,8,1665.3,1.0,37.70179765176362,37.70179765176362,OK,20.6
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Dense,1,2215.1,1.0,282.8172998348704,282.8172998348704,OK,21.6
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Dense,2,2215.1,1.0,147.75257188878444,147.75257188878444,OK,22.8
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Dense,4,2215.1,1.0,80.4342519130927,80.4342519130927,OK,22.5
meta-llama/Meta-Llama-3-8B,blackwell,16,1048576,Dense,8,2215.1,1.0,46.29173224376362,46.29173224376362,OK,22.9
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Dense,1,565.8,1.0,78.24288481459806,78.24288481459806,OK,15.0
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Dense,2,565.8,1.0,46.73712873485255,46.73712873485255,OK,14.8
meta-llama/Meta-Llama-3-8B,blackwell,16,2097152,Dense,2,4414.1,1.0,285.1915253607844,285.1915253607844,OK,33.7
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Dense,4,565.8,1.0,26.91782938419098,31.224284083579402,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,16,2097152,Dense,4,4414.1,1.0,149.15372864909264,149.15372864909264,OK,32.3
meta-llama/Meta-Llama-3-8B,blackwell,32,131072,Dense,8,565.8,1.0,19.49100275466568,25.230970241684993,OK,15.1
meta-llama/Meta-Llama-3-8B,blackwell,32,196608,Dense,1,840.7,1.0,98.98444983315532,112.60262318259807,OK,15.2
meta-llama/Meta-Llama-3-8B,blackwell,32,196608,Dense,2,840.7,1.0,55.87037029461494,63.92378416162137,OK,15.4
meta-llama/Meta-Llama-3-8B,blackwell,32,196608,Dense,4,840.7,1.0,34.50113101619098,39.814218675579404,OK,15.8
meta-llama/Meta-Llama-3-8B,blackwell,32,196608,Dense,8,840.7,1.0,23.34993862666568,27.196673278974213,OK,15.9
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Dense,1,1115.6,1.0,130.3916317211553,146.96236155059805,OK,15.8
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Dense,2,1115.6,1.0,71.57404523861496,81.10365334562138,OK,15.9
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Dense,4,1115.6,1.0,42.35305248819099,48.40415326757941,OK,15.9
meta-llama/Meta-Llama-3-8B,blackwell,32,262144,Dense,8,1115.6,1.0,27.14158944266568,31.491640574974216,OK,16.0
meta-llama/Meta-Llama-3-8B,blackwell,32,393216,Dense,1,1665.3,1.0,194.8166082331553,215.68183828659804,OK,16.9
meta-llama/Meta-Llama-3-8B,blackwell,32,393216,Dense,2,1665.3,1.0,102.17568722261494,115.46339171362136,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,32,393216,Dense,4,1665.3,1.0,57.65387348019099,65.5840224515794,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,32,393216,Dense,8,1665.3,1.0,34.724891074665685,40.08157516697422,OK,17.3
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Dense,1,2215.1,1.0,261.3890683931553,284.401315022598,OK,17.7
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Dense,2,2215.1,1.0,134.92521439061494,149.82313008162137,OK,18.6
meta-llama/Meta-Llama-3-8B,blackwell,32,524288,Dense,4,2215.1,1.0,72.95469447219097,82.76389163557938,OK,18.1
