model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,a40,256,64,166.8003,166.8003,166.6900,166.6900,1.0007,0.1103,0.0000,383.69,383.95,analytical
CodeLlama-34b-Instruct-hf,a40,256,128,167.0357,167.0357,166.6900,166.6900,1.0021,0.3457,0.0000,766.30,767.89,analytical
CodeLlama-34b-Instruct-hf,a40,512,4,973.38,1074.05,258.16,290.12,3.77,3135.72,0.0,7.45,27.6,simulated
CodeLlama-34b-Instruct-hf,a40,512,8,1071.7200,1071.7200,166.6900,166.6900,6.4294,905.0300,0.0000,7.46,47.99,analytical
CodeLlama-34b-Instruct-hf,a40,512,16,635.9583,635.9583,166.6900,166.6900,3.8152,469.2683,0.0000,25.16,95.99,analytical
CodeLlama-34b-Instruct-hf,a40,512,32,166.7711,166.7711,166.6900,166.6900,1.0005,0.0811,0.0000,191.88,191.97,analytical
CodeLlama-34b-Instruct-hf,a40,512,64,166.9227,166.9227,166.6900,166.6900,1.0014,0.2327,0.0000,383.41,383.95,analytical
CodeLlama-34b-Instruct-hf,a40,512,128,167.4014,167.4014,166.6900,166.6900,1.0043,0.7114,0.0000,764.63,767.89,analytical
CodeLlama-34b-Instruct-hf,h100,4,4,52.1,58.55,52.0,58.42,1.002,0.0,0.0,137.24,137.53,simulated
CodeLlama-34b-Instruct-hf,h100,4,8,33.71,33.71,33.65,33.65,1.002,0.0,0.0,239.13,239.58,simulated
CodeLlama-34b-Instruct-hf,h100,4,16,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14,simulated
CodeLlama-34b-Instruct-hf,h100,4,32,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14,simulated
CodeLlama-34b-Instruct-hf,h100,4,64,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14,simulated
CodeLlama-34b-Instruct-hf,h100,4,128,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.14,239.14,simulated
CodeLlama-34b-Instruct-hf,h100,8,4,52.1,58.54,52.1,58.54,1.0,0.0,0.0,137.26,137.26,simulated
CodeLlama-34b-Instruct-hf,h100,8,8,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,8,16,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,8,32,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,8,64,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,8,128,33.71,33.71,33.71,33.71,1.0,0.0,0.0,239.15,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,16,4,52.1,58.54,52.1,58.54,1.0,0.0,0.0,137.26,137.26,simulated
CodeLlama-34b-Instruct-hf,h100,16,8,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,16,16,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,16,32,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15,simulated
CodeLlama-34b-Instruct-hf,h100,16,64,39.05,39.05,33.71,33.71,1.158,21.39,0.0,206.19,239.15,simulated
