time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.027,0.031,0.02990476190476191,0.03,0.0011914281907806478,0.014,0.015,0.014700000000000001,0.015,0.00045825756949558367,0.329,0.365,0.3496,0.354,0.011672189169131887,0.038,0.04,0.03905000000000001,0.039,0.0005894913061275804,0.124,0.14200000000000002,0.13535,0.137,0.0054062463872820345,0.398,0.435,0.42024999999999996,0.423,0.010963005974640339,0.063,0.064,0.06304999999999998,0.063,0.00021794494717703388,0.386,0.42,0.40580000000000005,0.40700000000000003,0.009947864092356705,0.043000000000000003,0.045,0.04440000000000001,0.044,0.0005830951894845298,32,32,2560,10240,51200,False,880,1
0.029,0.03,0.029476190476190482,0.029,0.0004994327848429281,0.014,0.015,0.014050000000000002,0.014,0.0002179449471770335,0.34500000000000003,0.352,0.34800000000000003,0.34600000000000003,0.0029154759474226337,0.038,0.039,0.03885000000000001,0.039,0.00035707142142714284,0.132,0.137,0.13415000000000002,0.133,0.001681517172080025,0.41500000000000004,0.422,0.41805000000000003,0.417,0.0025194245374688053,0.062,0.063,0.06244999999999999,0.062,0.0004974937185533104,0.399,0.405,0.4019500000000001,0.4015,0.002246664193866099,0.043000000000000003,0.045,0.04360000000000001,0.0435,0.0006633249580710773,32,32,2560,10240,51200,False,872,1
0.028,0.03,0.02933333333333334,0.029,0.0005634361698190099,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.34700000000000003,0.353,0.3494499999999999,0.34800000000000003,0.002635811070619416,0.038,0.039,0.038500000000000006,0.0385,0.0005000000000000004,0.137,0.139,0.13795000000000002,0.138,0.0008645808232895299,0.41500000000000004,0.423,0.4183,0.41600000000000004,0.0033630343441600234,0.061,0.062,0.06190000000000001,0.062,0.00030000000000000024,0.395,0.403,0.39865,0.397,0.0027253440149823316,0.043000000000000003,0.045,0.043500000000000004,0.043000000000000003,0.0005916079783099588,32,32,2560,10240,51200,False,864,1
0.027,0.029,0.028190476190476193,0.028,0.0006632565846278158,0.013000000000000001,0.014,0.013900000000000004,0.014,0.00029999999999999976,0.332,0.34500000000000003,0.33945,0.343,0.005417333292312747,0.037,0.04,0.03805000000000001,0.038,0.0004974937185533105,0.128,0.135,0.1316,0.1335,0.002870540018881467,0.399,0.41200000000000003,0.40725,0.41050000000000003,0.00483606244790119,0.061,0.062,0.06109999999999999,0.061,0.00030000000000000024,0.387,0.399,0.39344999999999997,0.395,0.0038661996844446644,0.041,0.043000000000000003,0.04215000000000001,0.042,0.0007262919523166982,32,32,2560,10240,51200,False,856,1
0.028,0.03,0.028809523809523813,0.029,0.0004994327848429294,0.013000000000000001,0.014,0.013700000000000004,0.014,0.00045825756949558356,0.341,0.353,0.3481000000000001,0.352,0.004667976006793499,0.038,0.039,0.03805000000000001,0.038,0.00021794494717703385,0.133,0.138,0.1356,0.137,0.0019078784028338928,0.41100000000000003,0.421,0.41669999999999996,0.42,0.003861346915261541,0.06,0.061,0.06059999999999999,0.061,0.0004898979485566361,0.4,0.40800000000000003,0.40425000000000005,0.4045,0.0023425413550244977,0.04,0.043000000000000003,0.041400000000000006,0.041,0.0006633249580710806,32,32,2560,10240,51200,False,848,1
0.026000000000000002,0.03,0.028761904761904766,0.029,0.0009209085526577955,0.012,0.014,0.013350000000000004,0.013000000000000001,0.0005722761571129796,0.317,0.34600000000000003,0.33185000000000003,0.333,0.00798921147548368,0.039,0.04,0.03925000000000001,0.039,0.0004330127018922197,0.125,0.14100000000000001,0.13410000000000002,0.135,0.004887739763939979,0.396,0.431,0.41335,0.41400000000000003,0.009472460081731665,0.059000000000000004,0.06,0.05990000000000001,0.06,0.0002999999999999982,0.386,0.41400000000000003,0.39960000000000007,0.4,0.007876547467006093,0.04,0.042,0.041150000000000006,0.041,0.00047696960070847325,32,32,2560,10240,51200,False,840,1
0.026000000000000002,0.029,0.027904761904761915,0.028,0.0007499055118106485,0.012,0.014,0.013050000000000003,0.013000000000000001,0.0003840572873934303,0.32,0.335,0.33285000000000003,0.334,0.0030540956108150927,0.038,0.04,0.03910000000000001,0.039,0.00043588989435406776,0.127,0.136,0.13455,0.135,0.0017741194999210186,0.399,0.41600000000000004,0.41425,0.41500000000000004,0.0035195880440756157,0.059000000000000004,0.06,0.059399999999999994,0.059000000000000004,0.0004898979485566326,0.387,0.399,0.39775,0.398,0.0025273503912200245,0.04,0.042,0.04075000000000001,0.041,0.0006982120021884477,32,32,2560,10240,51200,False,832,1
0.025,0.028,0.027380952380952388,0.028,0.0007853534524986021,0.012,0.013000000000000001,0.012700000000000003,0.013000000000000001,0.0004582575694955844,0.317,0.329,0.32475,0.329,0.005280861672113752,0.038,0.039,0.038650000000000004,0.039,0.0004769696007084733,0.126,0.133,0.13005000000000003,0.132,0.002889204042638736,0.397,0.40900000000000003,0.4050000000000001,0.40800000000000003,0.004505552130427528,0.058,0.059000000000000004,0.05884999999999999,0.059000000000000004,0.0003570714214271428,0.383,0.397,0.39050000000000007,0.3925,0.004821825380496482,0.039,0.041,0.039900000000000005,0.04,0.0006244997998398404,32,32,2560,10240,51200,False,824,1
0.025,0.028,0.02733333333333334,0.027,0.0007766431633476232,0.012,0.014,0.012850000000000004,0.013000000000000001,0.0004769696007084731,0.314,0.34400000000000003,0.32705,0.329,0.008071400126372136,0.038,0.039,0.03830000000000001,0.038,0.0004582575694955844,0.124,0.14,0.1316,0.133,0.004662617290749911,0.394,0.429,0.4088,0.41000000000000003,0.00852408352845043,0.058,0.059000000000000004,0.05820000000000001,0.058,0.0004000000000000003,0.382,0.41100000000000003,0.3935,0.393,0.007826237921249271,0.037,0.04,0.038650000000000004,0.039,0.0007262919523166983,32,32,2560,10240,51200,False,816,1
0.026000000000000002,0.029,0.027523809523809534,0.028,0.0006632565846278154,0.012,0.013000000000000001,0.012950000000000003,0.013000000000000001,0.00021794494717703385,0.328,0.338,0.33190000000000003,0.329,0.004403407771260803,0.037,0.039,0.038200000000000005,0.038,0.0005099019513592789,0.131,0.137,0.13325000000000004,0.132,0.002277608394786077,0.40900000000000003,0.421,0.4138,0.41000000000000003,0.0052019227214559595,0.057,0.059000000000000004,0.05785000000000001,0.058,0.0005722761571129803,0.394,0.403,0.39775,0.396,0.0032538438807047923,0.037,0.04,0.038450000000000005,0.038,0.0006689544080129831,32,32,2560,10240,51200,False,808,1
